,Content,Location,Retweet-Count,Favorites,Created at
10,"Meet Study From Home graduate Aishwarya who is enjoying an exciting career in travel and tourism. Find out more about Aish’s time studying travel and tourism, what she’s doing now, and her advice for current students https://t.co/vUj640RIHh #studyfromhome #SFHblog #tourismcareer",New Zealand,0,1,2021-03-13 21:23:11
11,"Indeed, @deepakrgupta Pro. Deepak's lectures are very informative and helpful to understand the nitty gritty of #MarketingManagement subject.

#LearnWithProDeepak #pgdmfeb2021 #studyfromhome #education #knowledge #marketing #learning https://t.co/29zM8maOob",New Delhi,1,1,2021-03-13 08:19:45
12,"Rebooting India’s Education with e-Learning

See: https://t.co/m6FY9rgMcZ

#isrgrajan #SaturdayMotivation #Colleges #COVID19 #COVID19 #digitaleducation #DigitalLearning #ELearning #Education #EducationinIndia #Howto #India #OnlineClasses #Remotelearning #Schools #studyfromhome https://t.co/D5AhtfmWP8","DT: 27.1340,81.9619",0,0,2021-03-13 08:00:02
13,Have you heard the news? The Study From Home free trial portal is open! Try it now and find out if Study From Home is for you. https://t.co/XiDdvfosmh #SFHblog #studyfromhome #distancestudying #freetrial,New Zealand,0,0,2021-03-13 04:17:23
14,"Booking with a travel agent has become more and more important, making it a great career choice! https://t.co/6CfFQ6S2v3 #studyfromhome #travelcareer #travelagentlifestyle",New Zealand,0,0,2021-03-12 21:21:11
15,"It's been 364 days since schools and offices across the U.S. closed, transitioning to #studyfromhome and #WFH. @BusinessInsider provides a complete #COVID19 timeline #oneyearlater. @susieneilson @AylinWoodward https://t.co/f84h0OU9yQ",,2,6,2021-03-12 20:26:21
16,"Which one is your favourite vegetable?!🌽 😋  If it's not on the list write yours in a comment and share it with us 🤗 😉

#englishevolution #veggies #foodie #englishcourses #ESL #studyingenglish #studyfromhome #learnfromhome #englishathome #englishclasses #travelenglish #travel https://t.co/x8JQjR8hq3",,0,0,2021-03-12 18:32:19
17,"What exercise mechanism does Amath have?
In Amath gamification exercises, exercises are the coregameplay of the game, and a mode to improve the choice of answer is presented. #mommy #preschool #studyfromhome #preschoolmath #mathgames #Mathematics https://t.co/aWwsu8RyRk",,0,1,2021-03-12 17:53:45
18,"Get ready to be captivated with the #ASUS #VivoBook Ultra 14/15 device's bold colors, eye-catching designs, and modern performance to own the spotlight!

Know more:- https://t.co/ZjFnrHWcoa

#ASUSIndia #AMD #Ryzen #WowTheWorld #Laptop #Colors #StudyFromHome #LearnFromHome https://t.co/stU1Ojj7Oe",India,6,57,2021-03-12 14:19:55
19,"We are so glad you picked us! ☺️
▪️▪️▪️
#affordable_papers #affordable_papers_net #Students  #studentlife #highschool #college #uni #writinghelp #essay #homework #studenthelp #studyfromhome #learningfromhome #FridayFeeling #FridayVibes #FridayThoughts https://t.co/gEPrJWepWC",,0,0,2021-03-12 13:25:48
20,"Do you know these two similar-sounding terms are actually different? 
Click here to know the difference - https://t.co/kd3YMFNI0J

#custombrokers #jbsacademy #regulation6exam #studyfromhome #import #export #regulation6 #cbrlr2021 #education #samirjshah",Ahmedabad,0,0,2021-03-12 07:18:04
21,"Meet the newest member of the Study From Home team, Toni Young. Toni is experienced and talented, and we couldn’t be happier that she will be helping Study From Home learners https://t.co/IYMkjEd3SS #SFHblog #studyfromhome #SFHtutors",New Zealand,0,0,2021-03-12 03:17:22
22,Have you ever wondered how studying from home works and how it would fit into your life? We have all the answers for you! https://t.co/oNcDPkGjXU #SFHblog #studyfromhome #tourismcareer #nzjobs,New Zealand,0,0,2021-03-11 21:17:21
23,"#ImmigrationCanada update (March 10, 2021) COVID-19 policy allows  #InternationalStudents to apply #PGWP for 100% studies done from Outside #Canada till December 2021. 

Have #WorkPermit for #StudyFromHome.","Montreal, Canada",1,1,2021-03-11 14:12:33
24,"If you made it through 2020, whether through high school or university, know that the resilience gained last year will help you overcome this year. 

We wish all the best for your 2021 academic year! 💪

#StudyfromHome #EmpoweringEngineers https://t.co/Tk5RIteOBk",South Africa,0,1,2021-03-11 12:01:20
25,"Study with me live! | 7 Sessions | 3/11/2021 | Pomodoro/Forest | Discord... https://t.co/KMUdixH43n via @YouTube #studywithme #studywithmelive #studyfromhome #studyathome #pomodoro #stayhome
 #quarantine #workwithme",,0,0,2021-03-11 10:58:07
26,"Study with me live! | 2 Morning Sessions | 3/11/2021 | Pomodoro/Forest |... https://t.co/tWVRUxI10m via @YouTube #studywithme #studywithmelive #studyfromhome #studyathome #pomodoro #stayhome
 #quarantine #workwithme",,0,0,2021-03-11 10:56:23
27,"#HappyMahaShivratri  to all my lovings students, dear friends &amp; folks may god fulfill all your dreams on this day. 

#Stayhome #Staysafe #studyfromhome #class11 #class12 #cbse #Biharboard #rivetingcommerceclasses #wearecommercian #roushannayak 
Youtube :- https://t.co/9KNAQuIqXf https://t.co/8PnAXcfFaH",,1,0,2021-03-11 04:41:32
28,We need you! The tourism industry is crying out for skilled and qualified staff. Right now is the perfect time to enrol with Study From Home and start an exciting career in the industry https://t.co/t5K592z1Uz #SFHblog #nzjobs #tourismcareer #studyfromhome,New Zealand,0,0,2021-03-11 01:25:13
29,"Meet graduate Shania who is finding success in travel and tourism at every turn. In our latest blog post, we talk to her about her journey and what she is up to now https://t.co/4XpCOmRQs1 #SFHblog #nzjobs #studyfromhome",New Zealand,0,0,2021-03-11 01:17:19
30,London! We are delivering virtual courses to you at homeGo to https://t.co/UByPvYCTWO #freecourses #free2learn #studyfromhome #learnformhome #homestudy #growyourskills #skills #course #opportunities #lovetolearn #adultlearning #careersdevelopment @JCPinSthLondon @JCPinEastLondon https://t.co/xyzGDGTKYN,United Kingdom,4,5,2021-03-10 11:01:31
31,"Bite-size brilliance!
https://t.co/r7nmPxtyy4
#studyfromhome https://t.co/vvWGrwtQzT",London,2,4,2021-03-10 10:31:00
32,Have you heard the news? The Study From Home free trial portal is open! Try it now and find out if Study From Home is for you. https://t.co/9SHTAgXxos #SFHblog #studyfromhome #distancestudying #freetrial https://t.co/qPq3zO7B6i,New Zealand,0,0,2021-03-10 07:05:13
33,"Study with me live! | 8 Sessions | 3/10/2021 | Pomodoro/Forest | Discord... https://t.co/BYhfQeoprF via @YouTube #studywithme #studywithmelive #studyfromhome #studyathome #pomodoro #stayhome
 #quarantine #workwithme",,0,0,2021-03-10 04:50:26
34,"Study with me live! | 2 Morning Sessions | 3/10/2021 | Pomodoro/Forest |... https://t.co/b3vP0JUEc8 via @YouTube #studywithme #studywithmelive #studyfromhome #studyathome #pomodoro #stayhome
 #quarantine #workwithme",,0,0,2021-03-10 04:49:57
35,"Stayhome, Staysafe and study from home on youtube. https://t.co/tCM0YofpDc
Issue of Share (Share Payable in lumsum, minimum share application money - sec 39 of companies act 2013)
#video2 #stayhome #staysafe #studyfromhome #commerce #cbse #Biharboard #roushannayak https://t.co/auY5JkzgZv",,1,0,2021-03-10 04:11:17
36,"We share our top tips for making time for studying so you can stay on top of your studies and graduate this year ready to kick-start a career in travel, tourism, or aviation (or any industry!). https://t.co/Cs7nMhONJj #SFHblog #studyfromhome #tourismcareers #distancelearning",New Zealand,1,0,2021-03-10 03:51:23
37,Amath is the best mathematics teaching app that children can learn math from games. #AcademicFreezeNOW #preschool #studyfromhome #momblog #Mathematics #momlife https://t.co/keuJYe3D6Z,,0,0,2021-03-09 23:31:34
38,Our online proofreading course has an excellent track record for success: https://t.co/xir9JYpXS9 #proofreading_copyediting #studyfromhome 🔎🌠🎓,Worldwide,0,0,2021-03-09 18:02:20
39,"It looks like 2021 is going to be a busy year for travel. With a lot of pent-up demand from 2020, people are making plans. Big plans. Making it an ideal time to study towards a career in the tourism industry https://t.co/C5R0GZrvrJ #travel #nzjobs #studyfromhome #travelcareer",New Zealand,0,0,2021-03-09 06:21:22
40,"Study with me live! | 2 Morning Sessions | 3/9/2021 | Pomodoro/Forest | ... https://t.co/bWSPix8kiJ via @YouTube #studywithme #studywithmelive #studyfromhome #studyathome #pomodoro #stayhome
 #quarantine #workwithme",,0,0,2021-03-09 05:24:04
